source_id,ra,dec,parallax,parallax_error,parallax_over_error,pmra,pmra_error,pmdec,pmdec_error,phot_g_mean_mag,bp_rp
3309430665602216960,67.97140791437172,14.82504985934258,0.1446236715828435,0.48703468,0.2969474,-1.2787550897748872,0.559396,-3.0839280814771373,0.3780169,19.739449,2.647028
3309430910416090112,67.93844865010286,14.826039704239648,,,,,,,,21.046345,1.9709072
3309431013495150336,67.94020821514206,14.847624501646152,0.049506206425855966,0.70208347,0.07051328,-0.2570973253553204,0.7925611,-0.5459113808404366,0.5499313,20.3524,2.0898685
3309431387156722176,67.99367952243186,14.821154776673739,0.7123218292675226,0.5940489,1.1990962,8.672292039813158,0.7050228,-4.23944239516212,0.48626202,20.054188,2.2037468
3309432765841802624,68.01749446262622,14.876898831347159,,,,,,,,21.18297,1.7993469
3309433143799895552,68.03641893221243,14.918050214992295,0.8203768344299198,0.14032239,5.8463717,0.7184227964500237,0.17702758,-1.021956085522718,0.114250265,18.050873,1.5421085
3309434174592036096,68.2236707456389,14.87142945478598,1.8822789684233596,0.050439637,37.317455,10.408652007157409,0.0670528,-2.5982333605212826,0.048307832,16.345882,1.9364929
3309434685691906560,68.12788377029739,14.867448007993854,0.236244090142053,0.3194592,0.73951256,-0.11065278499971924,0.39811298,-0.932010754174546,0.2812081,19.52896,1.4290924
3309434930505444992,68.21909162382187,14.882736517034715,-1.5260613284233904,0.8487059,-1.7981038,0.46009546757736497,1.2816252,-0.21133462141489356,0.84144056,20.670883,1.6537228
3309434994929554688,68.20589680660485,14.896468943563276,0.43247730226723075,0.1867729,2.315525,2.227613788284639,0.24821597,0.7420992356749772,0.17749996,18.730886,1.6267052
3309435067943682432,68.2347341826869,14.893516546635711,-0.4708497618117026,0.5099492,-0.9233268,3.3509426348228093,0.66746384,-3.0515579121231022,0.46922892,19.962265,1.8376846
3309436854652339328,68.2291842134809,14.939938584242329,0.7371654737057102,0.41558847,1.7737871,-1.5676776628426012,0.5014017,2.506445410467923,0.38418716,19.821672,1.8311195
3309436884715166976,68.2105302563158,14.936448164241277,0.26865270478634024,0.23261602,1.1549191,-0.8603959391241346,0.28360495,2.920504997530386,0.1976388,18.979479,1.8169765
