source_id,ra,dec,parallax,parallax_error,parallax_over_error,pmra,pmdec,phot_g_mean_mag,bp_rp
3312408319186235520,67.6415947161492,14.747976746494444,20.132587476239596,0.36596155,55.012848,97.18962516286848,-16.36292548313833,13.6755705,2.7153435
151374477375986176,67.40147852974339,26.57294566532224,20.240852004653053,0.030556511,662.40717,97.86022473074928,-55.01587786445061,14.592121,2.9890013
3311024789960504576,65.39545704764056,14.409703887220196,20.67979693450329,0.027044397,764.6611,104.19978440400168,-19.148581742579594,6.4990244,0.54883385
3311151233797884416,66.05246947657736,14.75815758342354,20.85619771465096,0.20330013,102.58822,110.22626713190958,-12.401878513086965,7.4817166,0.7890749
3410453489023420416,68.42516726156403,19.01388394635447,20.871118754097125,0.021693328,962.0986,99.964197711193,-33.84079829485312,10.271567,1.4503965
3310478710637066752,64.53629289150157,13.331259196596612,20.934388473210237,0.06810414,307.3879,111.15798514707244,-14.546098512480594,13.949699,2.8872652
43789772861265792,57.60462004191989,17.24640938413766,21.01286843657661,0.015778624,1331.7301,127.2782830609336,-22.32068277832132,9.210812,1.0801163
3312348872541805184,64.22748221254695,16.356806031614795,21.063924177565333,0.014529831,1449.702,115.22802477350784,-25.82165237738849,13.190009,2.5590515
3314063908819076352,66.35479242496689,17.91521008711174,21.447339313427232,0.017244447,1243.7244,109.61815254023466,-31.353316361727813,10.60706,1.5973215
3314079508140198528,66.07110065917192,18.00278420332121,21.496896698223075,0.014711817,1461.1993,110.9135626017914,-30.66859095747958,9.650242,1.2481861
3309967059774839808,69.1701171674695,15.869204695827204,21.607898747664954,0.034783777,621.20624,99.90459107635893,-33.823473739301406,6.5345774,0.5849438
49324572659092992,64.2360793916038,20.876563189284862,21.73044866504696,0.15253635,142.4608,119.73868657307236,-38.57141950830933,17.729204,4.2275124
53725750202606208,62.16788238864409,23.55712619668823,21.742827135612444,0.04796531,453.30316,123.39914086025011,-42.166920825578174,12.554228,2.4401073
38354680725946240,58.75660281000282,12.48554075907131,21.77744563055385,0.016434181,1325.1311,131.17406424290564,-10.255282530117126,9.769129,1.2863073
3312613000147191680,67.93658293586253,15.630149907181586,21.928109289904448,0.021251561,1031.8352,104.99937028732845,-31.718638053931382,13.436778,2.7022161
47019347749289216,61.415911881822005,17.937590072728447,21.953883088547247,0.018208072,1205.7227,128.35318981625193,-27.322745774321383,9.03908,1.0493813
