source_id,ra,dec,parallax,parallax_error,parallax_over_error,pmra,pmra_error,pmdec,pmdec_error,phot_g_mean_mag,bp_rp
11824388563353472,54.95383282170333,8.510590374301088,-0.5575079592864856,0.49268308,-1.1315752,2.8803808453831046,0.6034985,-0.21984971304210882,0.43858013,19.754646,1.1713676
11824732160739712,54.9904376479002,8.522046445471748,2.387989071507708,0.38557675,6.1932907,3.2383078700039416,0.5535885,-8.276463299864277,0.41034406,19.523869,2.99572
11825316276291712,54.87650862854775,8.520816458620242,0.8860680393909346,0.34207204,2.5902965,-1.0467334507484887,0.41320208,-5.1191676473834375,0.29681414,19.322317,2.382738
11825629810118272,54.860128232791304,8.543715248615662,,,,,,,,20.882778,
11826999903472512,54.797064173664104,8.52402597626545,0.8744396870794977,0.4342871,2.013506,16.591210081870926,0.4364206,-9.321265019824093,0.32204273,19.339401,2.0785847
11827171702163456,54.77473984005936,8.52053138258263,-0.41585416947684356,0.6249797,-0.66538835,10.611252121610715,0.6070012,-9.36171665065252,0.4482849,19.947739,1.1665764
11827347796854784,54.81820460409484,8.557050923093186,0.7264555236096559,0.58529246,1.2411838,0.13995167710641865,0.6543365,-2.499526101044971,0.458559,19.949186,1.9318867
11828786609885184,54.86163328403171,8.588188961079464,3.2777955585885623,0.195342,16.779778,20.823064359844874,0.20809312,-6.887089805990999,0.15059511,18.349287,3.1365833
11828786611207680,54.87037904753222,8.587828878178454,,,,,,,,20.997631,1.3898907
11828893985080960,54.8147208051991,8.574841305664968,0.4819205581466374,0.05387298,8.945497,5.589224615053108,0.06013143,-1.707486441541608,0.04595207,15.992648,1.1007366
11829439444922240,54.8544998368284,8.614539331591224,-0.23721858084605515,1.278246,-0.18558131,6.067256043568563,2.3792653,-5.313642926288405,1.4955559,20.659166,1.8122158
11829821698014848,54.83738364563483,8.614344359190829,0.6573051822844896,0.08964009,7.3327146,3.0490364833847536,0.09714216,-1.5064170220791757,0.07440491,17.0064,1.3529549
11829959136502144,54.78306872293889,8.613932833755419,-0.4868069705381013,0.78321224,-0.6215518,2.002287787536919,0.9699346,-0.8793946784726,0.68056756,20.306698,1.2489986
11830195359171712,54.842665795594655,8.628566093648288,,,,,,,,20.668205,0.8072376
11833596973292288,55.149647314249556,8.681241474999513,2.210949875121266,0.34720358,6.3678775,-4.549784620789538,0.41570842,-19.41776146772048,0.30311322,19.03,2.870266
11835555478368640,54.92603123694116,8.657970860296158,0.8778849020856989,0.48841992,1.7973979,4.259410107778693,0.55902636,-0.2529243568418868,0.42424512,19.848946,1.9600182
11835692918796672,54.97934375219948,8.656760902099885,3.882110705995031,1.2922517,3.0041444,-2.450245392349306,1.810909,-11.357941063204706,1.0956802,20.745975,1.9697723
11835830356287616,54.99834786146807,8.685341447262566,1.0717057803653678,0.15808858,6.7791476,8.105746986823522,0.19399787,-6.352585019579759,0.14403787,18.123081,2.1089363
11839064467056256,55.01038488085677,8.782972277776585,,,,,,,,21.027153,1.710268
11839094531481984,55.02049769908272,8.7908456446672,4.5694852444237135,0.564746,8.091222,16.876440899338395,0.6655731,20.087136001765156,0.45713234,18.049555,2.8075867
11840537640423168,54.72657394243952,8.634650436324545,-2.0460411934022287,1.775904,-1.1521125,-1.9761432501592497,2.2665932,-0.6600531062450274,1.9326284,20.624252,1.9044743
11841843310482944,54.75351593258311,8.638983499755863,0.5757283122156308,0.3488905,1.650169,1.8567747000658772,0.38521397,-3.1644729219611385,0.27410606,19.076944,2.0166492
11842466081731840,54.832931246794914,8.689056823061906,3.7978456427948606,0.016127283,235.49197,-5.55373626511549,0.018305544,-38.64574429051265,0.012941716,12.066553,0.89637184
