source_id,ra,dec,parallax,parallax_error,parallax_over_error,pmra,pmra_error,pmdec,pmdec_error,phot_g_mean_mag,bp_rp
63963917148129024,57.32723715304875,22.27582517121278,0.12441395006598732,0.59901804,0.2076965,-0.29380762439383534,0.5993455,-1.7695010615555828,0.45183313,19.65182,1.993948
63964230681530880,57.27995265423503,22.262321774450108,1.1781748118721986,0.017940497,65.67124,5.447699531726445,0.019982362,5.243172054022907,0.012637324,13.71697,0.8563118
63964711716230784,57.30038038381031,22.28614907114193,1.0079211195174167,0.37835243,2.6639743,-0.10183814740218428,0.39562407,-2.2670078206794457,0.24350227,19.261885,1.3883228
63964711717862272,57.30116106589715,22.286840527888746,0.24686774810844958,0.12861578,1.9194204,-0.20933548352362036,0.1311281,-2.280816710791002,0.08282034,17.627592,1.0369911
63994669113200640,56.69903268220375,22.18976614877032,1.5291233530870336,0.9073971,1.6851755,6.792550064257057,1.1610457,-8.855303523135817,0.6615895,20.510193,1.9969273
63994673409072512,56.69944591279346,22.184400226769796,,,,,,,,20.854326,2.5216618
63995120086381952,56.670943037055885,22.19391314987453,1.106608773524019,0.094843164,11.667776,-7.167624804599698,0.11356662,-17.83521890399591,0.07998212,17.349062,1.7242908
63995493746926976,56.68854339672412,22.20504927283538,-0.356022717175044,0.33295673,-1.0692762,-0.9267576119461499,0.3884366,-1.2556213271052115,0.2766922,19.457043,1.1229439
63995802984582912,56.65860045615211,22.23655019621053,0.0022243660834518533,0.18218526,0.012209363,6.3772800470926345,0.22160204,-6.961044975608916,0.15798563,18.535976,0.8168354
63996700634353536,56.59667056727645,22.189408697293157,1.1769580058363627,0.019392936,60.690037,3.19424391024089,0.02389543,-8.322737418536644,0.016117366,13.858611,0.8856611
63997971944997504,56.48291745265565,22.21870078346707,,,,,,,,20.631823,1.6185055
63998002007755008,56.492618413764845,22.227154162172102,-0.2437035092336549,0.45361617,-0.5372461,5.146903697237513,0.553415,0.5063380056581037,0.4071117,19.825895,1.647665
