source_id,ra,dec,parallax,parallax_error,parallax_over_error,pmra,pmdec,phot_g_mean_mag,bp_rp,ruwe
3406570117031363968,73.61171493494433,17.850077339727523,7.0060753926865775,0.066272564,105.71608,-4.278060395385806,13.071191216665321,16.681587,2.6827145,0.9757801
3407979175542422144,77.21178871029024,19.755711106662424,7.006883517527775,0.19316798,36.273525,-0.46580913240790567,-26.249917479712025,13.780072,1.7744894,10.475859
3411751290699480576,73.84763411702046,21.195003158832858,7.021780064963405,0.022645336,310.07623,6.418100455502513,-20.95179924358365,14.462774,2.6629267,1.1132314
3313420797595264640,69.4164936184819,17.423807971028907,7.023776558852374,2.2645974,3.1015563,9.21495642113113,-2.4876788594090344,20.433298,2.8078308,1.4303178
3305236715937279744,62.70047214521141,13.016464954629912,7.029112668898487,0.17893046,39.284046,62.886106496444064,-49.548616958616485,17.972843,3.4379387,0.9186295
46126784824544512,63.27679404521648,17.602369025995536,7.0312499759198355,1.2582409,5.588159,14.36013852325007,-4.883742591636917,19.775454,1.5988274,2.7732189
153216331151541888,72.45805967447684,25.309409503589997,7.034104130917275,0.02235789,314.61392,-2.0833346207109957,6.053164952889656,14.261222,1.974493,1.1920159
3305147350554456832,62.23528629039981,12.798445494922,7.035444376953892,0.017196199,409.1279,6.940626423295387,-12.804053668782977,13.640562,1.8252907,1.0958896
3311861170415463680,64.70144610318698,14.830714067177691,7.044364195334905,0.3340233,21.08944,38.05410759701338,-58.17078657328435,19.028627,3.4011478,1.1851991
3412478750783563904,74.6396889003686,22.442399132709777,7.051060212262916,0.6114766,11.531202,-2.56992723384326,2.5570398228217184,19.382196,2.7653847,1.7806677
3410093811279365376,70.81583730894256,19.18220693731923,7.0525083528939625,1.8735192,3.7643108,-11.290450370812755,-2.960837758033696,20.854172,2.126297,1.1240907
149943428633879296,64.08373648644971,24.61369081129801,7.059712103015385,0.01650115,427.83157,17.38920144271069,-45.179155620410626,13.590588,1.9094162,1.057206
3294652370332423168,73.61509621833345,11.116814390147217,7.063553921268148,0.12238404,57.7163,44.79399551986476,22.396209150908746,17.929296,3.033064,0.9973526
3407590532541600384,77.53332173470561,18.78748348275663,7.071351424982678,0.116468735,60.714592,9.76887909887847,-18.538990889408797,15.54472,3.2293968,3.2152565
3412142751198795008,74.05924936789093,21.572246176367997,7.077127616554728,0.056188297,125.953766,19.22551964357472,-23.71268981513932,7.304291,0.37370253,1.6727005
3292146415828665600,70.42911400622943,7.526173955916971,7.079379439099708,0.32539064,21.756556,-6.683966794886517,-67.89673056180425,19.054632,3.188465,1.0822406
148910815416641920,64.16203016757004,22.94125015795361,7.080345678785622,0.19602717,36.119205,-15.945960042719907,0.04533129421192344,17.222506,3.079589,2.4015968
3406754766263874304,72.739636679533,18.304303938022315,7.082386060466988,0.08242816,85.92193,-46.27145311358522,-43.73333166162749,15.033025,,1.0697231
53864804065393536,60.70828661507774,23.510605573585625,7.092230790408538,0.045546386,155.71445,17.656241912139183,-44.681983984621695,15.780696,2.659916,1.053012
3405737614929953408,74.40523674568335,17.39171601731249,7.102636881356474,0.024924114,284.97046,66.76952670433903,-103.26350680354135,9.026749,0.8477688,1.4064132
52924515464971520,60.498408365019394,20.968843916031172,7.102745562402181,0.13810843,51.42876,40.267145751528645,-14.229125852183296,15.073443,2.528778,4.153066
145215494273617920,69.14148493908478,22.918649503002026,7.1031640200707304,0.015204875,467.1636,53.501076760306745,-33.732433545401776,13.0214615,1.5494661,0.9632302
153479217509580800,72.0449934750465,25.755855326970295,7.114087817879044,0.07369411,96.53537,0.1845410503782805,-78.11571945780989,17.018023,2.62387,1.0312309
3413237418102594432,72.7087384551888,22.441917082203396,7.127089814625146,0.04353916,163.69379,-2.522045080453566,-40.044317719137965,15.884393,2.585311,1.071191
3406444051151221504,73.12812991990064,17.50708705016431,7.157353657231117,0.017201893,416.07944,-1.9078336254061452,-13.171670449624553,11.779671,1.4112558,1.0771649
146677741658880640,69.75847860652524,23.146039681695186,7.159932158534482,3.0483708,2.3487735,-1.1442414317609382,-2.37277102188452,20.813707,1.4193668,1.0593456
3294364641882558720,70.46234594101601,11.798987705326889,7.160036879148762,0.043146662,165.94649,72.64900011945878,-74.18638268684641,16.107155,2.285881,0.9470211
3303279520817314432,59.13223084390251,11.277560931517439,7.161894664707182,0.3049264,23.48729,-28.294569879219377,4.527446496859387,14.06161,1.9207907,17.354614
145348324726741504,66.1082680545017,21.47696475035087,7.165217194414851,0.47495747,15.086019,66.11351114358118,-72.38965595854886,19.844414,0.8665447,1.0414704
48463281392926592,63.677867472055,18.822453971163682,7.172439325369993,0.02716865,263.9969,-28.17705487722511,-48.16545020400711,14.054594,2.4443903,1.1897244
151108429921505024,67.81436314924387,25.986720702004476,7.1731182082971445,0.018106788,396.15628,133.94145105241012,-62.920588959196714,11.1745205,1.1661835,0.9442275
3392617172739228672,75.16352798681622,15.026637007975372,7.180496751844848,2.9069488,2.4701147,-2.149120685960682,-0.25081065061424773,20.646112,1.1861134,1.0416956
3408598681623425280,74.17077228365852,20.011364472466003,7.182085001476751,1.0644553,6.747193,6.330791086203563,-1.2319639498568582,19.850449,2.1182747,2.456012
147231105245591808,70.85107853755468,24.2742197699375,7.183369084238786,1.2518835,5.738049,-0.5105796553689831,-1.358966010811771,20.318388,1.9611149,1.3314507
3296155475742373504,73.02039314396049,12.696398049207572,7.187740226555572,0.015662258,458.92108,43.54952137945625,-9.657562336576767,13.626072,1.7370701,1.0900711
3309598070545766912,70.40602460574252,14.841914363782152,7.197412800394879,1.9658642,3.6611953,7.045044630241034,0.11149485140565722,20.782047,1.5370293,1.1941923
40016867429549696,59.64672775855494,15.085901381285531,7.198530545706015,0.027891438,258.09103,1.2535006258743042,-43.495520455550235,8.22831,0.92030334,0.99776196
3295940864817640832,71.91400869844148,12.24626556536625,7.1985588437936805,0.08226784,87.50149,70.0550822728711,65.86734846221444,17.080963,2.5934134,0.98523515
3410807291248174592,68.89614795507799,20.01816727879291,7.200602629127823,0.77177626,9.329909,5.574623589726144,-15.927690872495855,19.127935,3.4111042,2.8902276
47048106850285824,61.521270918368536,18.069054055684838,7.200826370530527,0.048433907,148.67325,17.806159233937557,-43.1725373736907,16.066448,2.8103876,1.0918037
3408659154764565504,74.3883301105229,20.59412892275169,7.201146317022922,0.060378082,119.26756,-14.662182941503817,-0.9074455711101627,16.101608,2.7487707,1.0260432
3404939644366077696,73.50487732933068,15.61845163235858,7.216365439325343,0.04375249,164.93611,110.04798011748824,-35.19357042030964,15.832914,2.5619173,1.0184538
3303080474853133696,59.77986279801787,10.991260634974859,7.216644664271381,0.072612,99.38638,-8.861388556716866,-20.40112077685325,16.597874,2.8249016,1.0438296
144793552392927488,69.12882779471968,21.650631348279866,7.219600048135531,0.07367745,97.98927,-19.521935388852395,0.050359716521162216,16.467266,2.6135674,1.0311881
3304857423082342016,59.902523322777505,12.063924006260923,7.224964252486295,0.045043025,160.4014,91.81412881937328,-34.351940096258254,15.920376,2.4246407,1.0488002
3411246958458862080,70.10116318560912,20.797632678575418,7.226525923732008,0.03865534,186.94768,2.2762472939710756,-8.586083601530355,15.376007,2.4079876,1.0953674
53203688338898176,59.67183627202098,21.53394158862515,7.237544211668882,0.12907366,56.072975,16.799962780486947,-38.8666036556234,17.702257,3.0870152,0.94192153
3392887171563820288,74.32370501039019,15.419261120456857,7.240608594247483,0.27956888,25.899193,13.634152781848421,-19.226149212299905,10.597556,1.1842327,7.9288945
3308572290618823296,71.93175670151001,14.120159979248964,7.244847473512123,0.037046716,195.55978,60.77242980749204,-68.47688073279355,15.054972,2.5159416,1.1250101
3408645582667928448,74.31368650067257,20.33490924641062,7.247096502824473,0.13302077,54.480934,32.97469723063889,-27.076369121197764,17.599783,3.2246475,1.0349042
3411634257134800256,73.95113304743298,20.506535712085274,7.249504688066525,0.029440748,246.24051,-3.124111787408029,-13.645194220526777,14.708261,2.6513405,1.1156015
3418320872675890304,75.48034364126605,22.596207352059732,7.265666859640575,0.04796412,151.4813,40.07750445541035,-51.39724271078359,15.925722,2.5878239,1.0153418
149037254957680640,63.93680045922783,23.7936204523834,7.266028779974798,0.62078255,11.704628,-7.679027603601675,-76.0689508812041,20.051546,0.6294918,0.97030216
3308239383409833600,70.06063415737735,13.355574762574749,7.266447176023302,0.10818222,67.16859,42.34733637562671,-1.8444584574397211,17.52118,2.9176521,0.9618908
144664879468545536,67.40062810604718,21.755678478762327,7.266730214751428,0.015627779,464.98804,-3.263475160810366,22.06213796882053,13.346781,1.7899551,0.9678702
