source_id,ra,ra_error,dec,parallax,parallax_error,parallax_over_error,pm,pmra,pmdec,phot_g_mean_mag,bp_rp,astrometric_excess_noise,astrometric_excess_noise_sig,visibility_periods_used,ruwe,l,b
3312408319186235520,67.6415947161492,0.3216814,14.747976746494444,20.132587476239596,0.36596155,55.012848,98.55744,97.18962516286848,-16.36292548313833,13.6755705,2.7153435,2.5567715,4232.8794,17,3.9454203,181.60538715012984,-22.3496157430487
151374477375986176,67.40147852974339,0.027213518,26.57294566532224,20.240852004653053,0.030556511,662.40717,112.26473,97.86022473074928,-55.01587786445061,14.592121,2.9890013,0.1085294,3.5134234,16,1.17273,171.86801260030813,-14.937865594433076
3311024789960504576,65.39545704764056,0.023985242,14.409703887220196,20.67979693450329,0.027044397,764.6611,105.944626,104.19978440400168,-19.148581742579594,6.4990244,0.54883385,0.1500808,26.758965,14,1.0944234,180.41325121426536,-24.257825860442377
3311151233797884416,66.05246947657736,0.18772341,14.75815758342354,20.85619771465096,0.20330013,102.58822,110.92176,110.22626713190958,-12.401878513086965,7.4817166,0.7890749,1.6570947,1914.8009,15,4.709577,180.5560839011841,-23.544619622993647
3410453489023420416,68.42516726156403,0.01809052,19.01388394635447,20.871118754097125,0.021693328,962.0986,105.53692,99.964197711193,-33.84079829485312,10.271567,1.4503965,0.10567888,16.793259,16,1.0452945,178.54163783854213,-19.101196516212514
3310478710637066752,64.53629289150157,0.061282784,13.331259196596612,20.934388473210237,0.06810414,307.3879,112.1057,111.15798514707244,-14.546098512480594,13.949699,2.8872652,0.5484205,154.60703,16,1.5854778,180.75237507000995,-25.586050940820243
43789772861265792,57.60462004191989,0.014330145,17.24640938413766,21.01286843657661,0.015778624,1331.7301,129.22064,127.2782830609336,-22.32068277832132,9.210812,1.0801163,0.07097701,8.7668085,17,1.0372365,172.48307720810757,-27.93685746031181
3312348872541805184,64.22748221254695,0.013089858,16.356806031614795,21.063924177565333,0.014529831,1449.702,118.0858,115.22802477350784,-25.82165237738849,13.190009,2.5590515,0.03993445,1.3550934,16,1.1301515,177.98588091991158,-23.87433581466256
146727391481452544,69.24266407105962,0.09609354,23.27715799874353,20.3687781601637,0.110327736,184.62065,101.7829,91.3865417851164,-44.813588017583925,17.21223,3.933959,0.33553484,2.7633455,15,1.0285324,175.59163921335582,-15.808790332509574
147232651433766528,70.85359728998459,0.020382041,24.2964410178168,20.51635582322876,0.020655721,993.2529,105.507454,91.6557375268811,-52.25943492761425,12.903985,2.5290155,0.10846902,13.900399,17,1.0597734,175.74090068740264,-14.022464396626724
49131681384221952,65.44163945529262,0.1357469,20.395550027325378,20.540163199450884,0.1561106,131.57443,110.00917,104.811415931944,-33.41532847520043,17.93693,4.314142,0.36460084,1.7232621,16,0.94564676,175.49824411494356,-20.362928683517094
47751828650825856,65.05889052370046,0.09378301,18.70196761968929,20.644823633460607,0.10241049,201.58896,109.79307,105.09720116301764,-31.766270421566404,17.380816,4.105853,0.40764713,3.9759138,16,1.0328475,176.61610449800713,-21.744972246824204
3307650109600736000,67.20948986265694,0.08211854,13.04753577613368,20.7158275616805,0.08992032,230.37982,105.127556,104.0662360049054,-14.900380463272183,4.974638,0.28398275,0.6664452,1059.9623,16,1.1548831,182.7809430260135,-23.727017072135
3309918646903563264,69.74413335884405,0.06067358,15.66134729244483,20.73420397208147,0.07816423,265.26462,95.71643,92.88202041354572,-23.120656818575483,16.722443,3.7036982,0.27151456,4.3133326,19,1.0284376,182.16528175111597,-20.1866281844441
50427387118457984,60.06551761888576,0.026391082,19.40999977920341,20.784654277557596,0.031543713,658.9159,128.40524,124.05003154447888,-33.15864551058504,14.678405,3.0044937,0.122202724,5.171829,17,1.205549,172.58386042734958,-24.7542181294393
3309541170817293824,68.66689038204488,0.05496967,15.208964911975178,21.07507415226267,0.06817406,309.1363,109.21065,103.15688773254992,-35.85557174837498,11.549942,2.0912971,0.43920445,261.93387,18,3.344131,181.87077173809723,-21.28527890157207
3310615565476268032,65.22015770420096,0.02935144,13.864370841354328,21.09351261138683,0.03247488,649.53326,107.59944,106.88260714504528,-12.399521780388248,6.0480075,0.5970855,0.17810667,41.233383,12,1.1201186,180.75995143918863,-24.73400762286722
3311934086075988864,64.4656126372456,0.025675429,15.227063447450588,21.125368661812228,0.02709581,779.6545,111.810974,109.65233201547665,-21.86460130676811,14.218251,2.8814716,0.04173507,0.6358587,12,1.077109,179.0930979325972,-24.429442342710622
3310640648085373824,64.44922468154691,0.019885365,13.661704892347966,21.139233734577186,0.022931347,921.84875,110.54016,109.25947233228388,-16.777791608316285,11.770583,2.082737,0.13433275,21.019226,16,1.3031068,180.4097725678961,-25.44195797586402
3312025001943976064,65.80253436758252,0.024930261,15.712784182546748,21.566208065928656,0.027361881,788.1844,114.30034,112.2485024763629,-21.56015783535826,14.3163395,2.9911318,0.103619374,3.3605263,16,1.1712971,179.5844979847358,-23.127943102999367
3313977356636886144,66.02741879597104,0.10615827,17.4442235658507,21.6459760407146,0.10286981,210.42108,110.19571,107.84832747952228,-22.62373525280196,14.583092,2.597931,0.55320233,114.69239,13,1.213657,178.29056811236185,-21.857033815598097
144171233106399104,67.81589657872274,0.018798908,20.13299459878652,21.709497140089493,0.020119479,1079.0288,113.54925,106.53332318806764,-39.29482776447058,8.404495,0.90096426,0.09366788,8.448173,17,0.9009007,177.2416365931492,-18.8356641305831
3308403897837092992,70.09992853565252,0.027836675,13.979318665904936,21.759915026491484,0.032920063,660.9925,97.537,95.28566036074272,-20.835310650511087,14.9131975,-0.15952682,0.17401126,9.223114,20,1.0570222,183.81989665191085,-20.926480919680863
3313778207594395392,66.81983230907242,0.018669385,17.241711375171782,21.81444620546993,0.020584943,1059.7283,112.05623,107.51215513083208,-31.586936720187342,12.13662,2.210867,0.12187157,21.699467,17,1.2495142,178.97729093316732,-21.40357260950288
3306483944378137088,69.53990118480833,0.15657331,12.510770912489669,22.030957747168557,0.19201577,114.735146,105.744095,104.69464756654698,-14.860823838208058,4.253432,0.18638706,1.451183,5091.6177,18,2.7248995,184.7371655088593,-22.24036864191147
3308501926171656832,72.29440092915024,0.021812307,13.811345343593024,22.131125231488067,0.02521971,877.5329,91.09596,88.33667020089916,-22.250997369206093,14.280831,2.9861012,0.05512848,1.3555759,19,1.1009713,185.30490294934037,-19.30723040076485
3409548556593300480,69.93787274420261,0.0520943,18.094692552580685,22.31447961767648,0.0564113,395.56757,108.418015,102.88484380975328,-34.19319221143056,16.200205,3.6003256,0.25075755,5.1861663,19,1.0817941,180.24497390513764,-18.55142273826941
145218857232329472,69.15895811624549,0.028960917,23.041749426082887,22.479936572382865,0.03354585,670.12573,115.60328,103.314707700456,-51.86702742446364,13.074914,2.7881413,0.20000245,34.274666,16,2.0043025,175.72917099856556,-16.01818734412376
45769546624484736,64.05691179600716,0.18799639,16.796588846576263,20.590147840419927,0.2016998,102.083145,111.74872,109.61404156684677,-21.737954101547505,15.543332,3.468278,1.4418558,229.79048,15,5.199493,177.50477697020398,-23.71201802584629
145784835140102016,66.32628208468356,0.018244334,23.060624403370937,20.7536113300791,0.020000981,1037.6296,115.166016,106.44698152807058,-43.957385307406525,12.954094,2.4809856,0.1293728,19.689756,16,1.17332,173.9465646256979,-17.9901053306338
3307843524864280192,67.09389131915107,0.033203777,13.822676224049486,20.77181149357056,0.035072938,592.24615,106.874886,105.07476082538018,-19.53295525173183,14.891436,3.1672688,0.07129207,1.7009215,15,1.0380604,182.03905608520083,-23.33864106788026
3391564527794446976,74.88597924839392,0.34928834,13.081822755654615,20.79203349582033,0.3834032,54.2302,83.10278,80.49608080697446,-20.6507588700384,19.12323,3.7730331,1.1634256,2.925035,16,1.0943125,187.46118765401872,-17.663023597520716
47803952373768960,64.01545924155742,0.016939044,18.85907582957696,20.81802907900175,0.018925542,1099.9965,116.42518,112.99087732712964,-28.06927769236524,12.993462,2.5119476,0.060201183,3.4644241,15,0.95159847,175.78745533017815,-22.385938302639666
3311179340063437952,66.52007676867467,0.025407225,15.041285019426097,20.8390589991997,0.027691659,752.5392,104.11404,101.60630054880184,-22.71326170096517,11.470464,1.9116602,0.22336443,113.15317,18,1.8935764,180.6252674804109,-23.015165175607983
3311492803955469696,63.79389433144968,0.015777916,14.398373872357954,20.978217741068452,0.017638173,1189.3645,116.04677,114.58061638282337,-18.38846027027257,10.929824,1.7070513,0.0835619,8.339259,15,1.0539469,179.33228208701834,-25.459684769114546
3312637842237882880,67.96612153925633,0.04500689,15.851471350184571,21.00505488455235,0.05281615,397.7014,105.25174,99.4956310598399,-34.32999088297088,5.928877,0.46518755,0.320926,162.25877,16,1.5450443,180.8806216846241,-21.420425504816617
145293181643038336,66.57757082391856,0.046233915,21.470262123168748,21.022085450482432,0.05181636,405.70364,110.25688,103.57539571101086,-37.79838463589298,7.239102,0.68395376,0.36931333,144.82744,17,2.1216698,175.37288923589867,-18.85739033728395
3312440445540818304,67.81866462842426,0.052046824,15.00322280399349,21.05318989100504,0.05802669,362.81906,103.16384,101.15523679833852,-20.258241111458684,16.090866,3.5432816,0.2555695,5.969705,19,1.1030897,181.50287831725453,-22.057330893268592
3306722607119077120,68.43779586213405,0.029952487,12.71114645559168,21.1317743941902,0.034443296,613.52356,100.033806,98.9922681465868,-14.39769732761123,14.242379,-0.2868185,0.20881513,23.043804,18,1.0895413,183.86510916821345,-22.98119882191471
3303530209469039616,61.85267271178611,0.057237197,10.740581426524551,21.21141476610331,0.06348634,334.10992,120.02267,119.7844629063574,-7.558021096718419,16.219955,3.502411,0.26502165,5.2991223,16,1.0895038,181.12535732051788,-29.258835341536837
3312536927686011520,67.53632737172786,0.0488839,15.637736095425185,21.4201372807942,0.05598455,382.608,111.04524,108.88056712014205,-21.81897870414946,5.6056676,0.4476633,0.34836403,200.55367,16,0.9843407,180.78409391834157,-21.87732240087736
