source_id,ra,dec,parallax,parallax_error,parallax_over_error,pmra,pmra_error,pmdec,pmdec_error,phot_g_mean_mag,bp_rp
63995562466405760,56.70921754523774,22.211633483804448,7.066697909247392,0.13903295,50.827507,20.74025760401136,0.16051309,-44.14092913446135,0.1117817,17.78173,3.4892616
64016904160440960,57.10351631333752,22.407062846260487,8.069427125789232,0.12728046,63.398792,20.230965100976423,0.1326977,-47.225134748533975,0.0907396,14.416559,2.4448442
63999999169130112,56.630577272862354,22.305310419986277,7.432473633593599,0.06450196,115.228645,19.543662369430454,0.07703707,-46.41285271634421,0.05918031,16.615885,3.2331133
64094037476647040,57.70410557714868,22.66984055724213,7.386205225594046,0.03354169,220.20969,18.29780707062388,0.044494182,-44.92903716810198,0.025902785,14.9738245,2.4698553
64030785494725632,57.06850221014104,22.544420348361157,6.202376889701742,0.042245995,146.81573,18.51606979487888,0.04674393,-39.98900479319448,0.035289533,13.9273,1.9835396
64109915973846528,57.409171523077866,22.53328562479943,7.295865291844413,0.028811403,253.2284,18.218374885497603,0.036336496,-44.56881799548171,0.021936465,7.0043597,0.042464733
64027143362491008,56.93624264298835,22.397962763767943,7.551832932850046,0.07385354,102.25418,21.0570556765474,0.087171614,-46.67305383314692,0.062851965,16.656425,3.1400652
64064011363520512,57.65595238915255,22.468747646826063,7.127754129770755,0.060763273,117.30366,19.89987187064179,0.07966034,-44.34454216975364,0.04378473,16.323393,2.9244423
64006905476619776,56.84689444035548,22.24435427602141,7.121282586312011,0.019014506,374.5184,19.56523367259846,0.021979593,-44.07548166486084,0.016248746,13.896054,1.8874846
64148738180119680,57.691890731725,22.93047700918125,7.329901757417433,0.012998136,563.9195,19.432050778551144,0.015992705,-44.96311213605481,0.010610592,12.54847,1.4772148
64021920682268416,56.8700688599484,22.376423105686136,6.893616078653016,0.07484477,92.105515,20.4945958778842,0.07907533,-48.93140468482412,0.06619243,13.977068,2.0832853
64021714523841280,56.83519780827225,22.365563362379287,7.3267714619524815,0.087684184,83.55864,19.471856841625943,0.097058006,-46.254349896532375,0.078045875,17.03976,3.2313108
64059407158605568,57.39781407380614,22.39046720119339,7.399756837891425,0.09320872,79.3891,19.47132579352298,0.10602998,-45.00153299664306,0.071098305,17.05874,3.0555935
63997697066663040,56.503952006798364,22.208012264640587,7.883120991931724,0.2010401,39.211685,21.976459523078464,0.25476742,-50.43296974142709,0.20081109,18.363379,3.6052704
64007244778181248,56.93617517454737,22.21209302624348,7.267899589037527,0.16237102,44.761063,19.74476077219173,0.18293683,-44.90627737374165,0.14246199,18.159636,3.357586
